name,init,mult,size_x,size_y,run_nr,time
TrueTrue51264,True,True,512,64,0,72.1
FalseTrue6416,False,True,64,16,10,72.3
TrueFalse64512,True,False,64,512,6,72.23
TrueTrue1632,True,True,16,32,4,72.02
TrueTrue3216,True,True,32,16,3,72.57
TrueTrue1024256,True,True,1024,256,4,72.15
TrueFalse128256,True,False,128,256,5,72.47
FalseTrue64128,False,True,64,128,9,72.4
TrueTrue128256,True,True,128,256,9,71.87
TrueFalse12864,True,False,128,64,9,72.31
TrueTrue64512,True,True,64,512,1,72.54
TrueFalse512512,True,False,512,512,6,72.78
FalseTrue1632,False,True,16,32,4,72.07
FalseTrue64512,False,True,64,512,9,72.35
FalseTrue512256,False,True,512,256,2,71.65
TrueTrue64128,True,True,64,128,4,71.82
TrueTrue512128,True,True,512,128,3,72.49
FalseTrue64512,False,True,64,512,0,72.29
TrueTrue256256,True,True,256,256,6,71.99
TrueTrue5121024,True,True,512,1024,10,72.47
FalseTrue5121024,False,True,512,1024,5,71.56
TrueTrue25664,True,True,256,64,0,71.69
TrueFalse128256,True,False,128,256,0,72.37
TrueFalse256256,True,False,256,256,5,71.62
FalseTrue512512,False,True,512,512,10,72.66
FalseTrue256256,False,True,256,256,8,72.46
TrueFalse1024256,True,False,1024,256,5,72.32
TrueFalse256256,True,False,256,256,9,71.95
TrueFalse3232,True,False,32,32,6,72.09
TrueTrue5121024,True,True,512,1024,5,72.43
FalseTrue256512,False,True,256,512,8,72.26
TrueFalse641024,True,False,64,1024,3,72.24
TrueFalse64128,True,False,64,128,3,72.42
TrueTrue6432,True,True,64,32,8,72.25
TrueFalse6432,True,False,64,32,9,72.23
FalseFalseNoneNone,False,False,None,None,8,71.39
TrueFalse512128,True,False,512,128,6,72.36
FalseTrue641024,False,True,64,1024,0,70.99
TrueFalse1616,True,False,16,16,7,72.4
FalseTrue5121024,False,True,512,1024,4,72.14
TrueTrue256256,True,True,256,256,7,72.36
FalseTrue1281024,False,True,128,1024,0,72.69
TrueTrue10241024,True,True,1024,1024,10,71.91
FalseTrue512256,False,True,512,256,7,72.62
FalseTrue51264,False,True,512,64,8,72.57
TrueFalse128256,True,False,128,256,10,72.34
FalseTrue64128,False,True,64,128,5,71.54
FalseTrue1024256,False,True,1024,256,8,71.38
TrueFalse1281024,True,False,128,1024,5,71.72
TrueTrue3264,True,True,32,64,10,72.24
TrueTrue12864,True,True,128,64,11,72.17
FalseTrue512128,False,True,512,128,3,73.98
FalseTrue6416,False,True,64,16,11,72.13
TrueTrue1281024,True,True,128,1024,6,72.3
TrueTrue6416,True,True,64,16,7,72.92
TrueFalse3216,True,False,32,16,11,72.68
TrueFalse128128,True,False,128,128,3,72.32
FalseTrue64256,False,True,64,256,6,72.05
TrueFalse128512,True,False,128,512,1,72.63
TrueTrue1281024,True,True,128,1024,0,72.81
TrueTrue1632,True,True,16,32,10,72.08
