Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     35.19     0.00        3     0.00     0.00  luaB_print
  0.00     35.19     0.00        3     0.00     0.00  luaL_addvalue
  0.00     35.19     0.00        3     0.00     0.00  luaL_buffinit
  0.00     35.19     0.00        3     0.00     0.00  luaL_checklstring
  0.00     35.19     0.00        3     0.00     0.00  luaL_checknumber
  0.00     35.19     0.00        3     0.00     0.00  luaL_pushresult
  0.00     35.19     0.00        3     0.00     0.00  luaL_setmetatable
  0.00     35.19     0.00        3     0.00     0.00  luaS_eqlngstr
  0.00     35.19     0.00        3     0.00     0.00  luaZ_fill
  0.00     35.19     0.00        3     0.00     0.00  lua_isinteger
  0.00     35.19     0.00        3     0.00     0.00  lua_pushlightuserdata
  0.00     35.19     0.00        3     0.00     0.00  lua_pushnil
  0.00     35.19     0.00        3     0.00     0.00  lua_rawget
  0.00     35.19     0.00        3     0.00     0.00  lua_tonumberx
  0.00     35.19     0.00        3     0.00     0.00  newprefile
  0.00     35.19     0.00        3     0.00     0.00  str_format
  0.00     35.19     0.00        3     0.00     0.00  sweep2old
  0.00     35.19     0.00        2     0.00     0.00  block
  0.00     35.19     0.00        2     0.00     0.00  correctstack
  0.00     35.19     0.00        2     0.00     0.00  createlabel
  0.00     35.19     0.00        2     0.00     0.00  f_call
  0.00     35.19     0.00        2     0.00     0.00  forbody
  0.00     35.19     0.00        2     0.00     0.00  luaD_growstack
  0.00     35.19     0.00        2     0.00     0.00  luaD_inctop
  0.00     35.19     0.00        2     0.00     0.00  luaD_reallocstack
  0.00     35.19     0.00        2     0.00     0.00  luaE_warnerror
  0.00     35.19     0.00        2     0.00     0.00  luaH_getn
  0.00     35.19     0.00        2     0.00     0.00  luaK_concat
  0.00     35.19     0.00        2     0.00     0.00  luaK_goiftrue
  0.00     35.19     0.00        2     0.00     0.00  luaL_len
  0.00     35.19     0.00        2     0.00     0.00  luaV_objlen
  0.00     35.19     0.00        2     0.00     0.00  lua_gc
  0.00     35.19     0.00        2     0.00     0.00  lua_len
  0.00     35.19     0.00        2     0.00     0.00  lua_rawgeti
  0.00     35.19     0.00        2     0.00     0.00  patchtestreg
